Title,Area,Room,Floor,Year,Price
2 kambarių butas Vilniuje,49.49,2,3,2020,124 800 € (2 522 €/m²)
2 kambarių butas Vilniuje,49.44,2,3,2020,128 500 € (2 599 €/m²)
2 kambarių butas Vilniuje,56.00,2,1,1940,135 000 € (2 411 €/m²)
3 kambarių butas Vilniuje,110.00,3,2,2008,550 000 € (5 000 €/m²)
2 kambarių butas Vilniuje,49.21,2,1,2021,115 000 € (2 337 €/m²)
4 kambarių butas Vilniuje,230.00,4,0,2018,450 000 € (1 957 €/m²)
3 kambarių butas Vilniuje,101.00,3,1,2019,195 000 € (1 931 €/m²)
3 kambarių butas Vilniuje,113.00,3,23,2004,350 000 € (3 097 €/m²)
4 kambarių butas Vilniuje,120.47,4,2,1940,415 000 € (3 445 €/m²)
3 kambarių butas Vilniuje,102.00,3,2,2000,408 000 € (4 000 €/m²)
3 kambarių butas Vilniuje,78.00,3,1,2009,279 000 € (3 577 €/m²)
2 kambarių butas Vilniuje,72.00,2,2/3,2013,187 900 € (2 610 €/m²)
2 kambarių butas Klaipėdoje,43.00,2,5/5,1963,45 000 € (1 047 €/m²)
4 kambarių butas Klaipėdoje,108.00,4,4/5,,239 000 € (2 213 €/m²)
1 kambario butas Klaipėdos rajono sav.,31.34,1,1/2,1904,28 000 € (893 €/m²)
2 kambarių butas Klaipėdoje,51.00,2,5/5,1969,53 000 € (1 039 €/m²)
2 kambarių butas Ignalinos rajono sav.,46.50,2,1/5,1990,31 000 € (667 €/m²)
2 kambarių butas Klaipėdoje,57.00,2,4/9,1979,53 900 € (946 €/m²)
1 kambario butas Klaipėdoje,30.00,1,3/4,,39 000 € (1 300 €/m²)
2 kambarių butas Klaipėdoje,38.00,2,2/4,,40 000 € (1 053 €/m²)
2 kambarių butas Klaipėda,53.00,2,2/9,,74 000 € (1 396 €/m²)
3 kambarių butas Klaipėdos rajono sav.,62.00,3,2/5,,87 777 € (1 416 €/m²)
3 kambarių butas Klaipėda,60.00,3,3/7,,115 000 € (1 917 €/m²)
3 kambarių butas Klaipėda,78.00,3,9/9,,68 000 € (872 €/m²)
4 kambarių butas Klaipėdoje,127.00,4,3/3,,127 000 € (1 000 €/m²)
2 kambarių butas Klaipėdos rajono sav.,47.00,2,5/5,,37 000 € (787 €/m²)
1 kambario butas Vilniuje,32.00,1,3/7,2016,78 000 € (2 438 €/m²)
2 kambarių butas Vilniuje,58.00,2,1/2,1988,179 000 € (3 086 €/m²)
3 kambarių butas Klaipėdoje,69.00,3,7/9,1976,63 000 € (913 €/m²)
3 kambarių butas Klaipėdoje,78.00,3,5/9,1984,57 000 € (731 €/m²)
1 kambario butas Klaipėdoje,30.00,1,4/4,1990,38 000 € (1 267 €/m²)
3 kambarių butas Klaipėdoje,80.00,3,2/2,1918,131 000 € (1 638 €/m²)
1 kambario butas Švenčionių rajono sav.,27.88,1,1/1,,10 000 € (359 €/m²)
3 kambarių butas Klaipėdoje,78.00,3,2/3,1956,120 000 € (1 538 €/m²)
2 kambarių butas Klaipėdoje,43.00,2,3/5,1970,64 999 € (1 512 €/m²)
3 kambarių butas Klaipėdoje,60.98,3,4/5,1975,58 999 € (968 €/m²)
3 kambarių butas Vilniuje,62.00,3,5/9,1983,81 900 € (1 321 €/m²)
4 kambarių butas Anykščių rajono sav.,78.46,4,3/4,1990,75 000 € (956 €/m²)
2 kambarių butas Klaipėda,50.00,2,5/9,,43 999 € (880 €/m²)
2 kambarių butas Klaipėdoje,55.00,2,3/9,,55 000 € (1 000 €/m²)
2 kambarių butas Klaipėdoje,37.00,2,1/2,,50 000 € (1 351 €/m²)
2 kambarių butas Klaipėdoje,48.00,2,1/5,,49 900 € (1 040 €/m²)
1 kambario butas Klaipėdoje,43.00,1,4/5,,41 000 € (953 €/m²)
1 kambario butas Klaipėdoje,43.98,1,5/5,1990,40 000 € (910 €/m²)
2 kambarių butas Šiauliuose,51.00,2,5/5,1971,37 700 € (739 €/m²)
2 kambarių butas Klaipėdoje,52.61,2,3/7,2020,85 000 € (1 616 €/m²)
2 kambarių butas Palangoje,33.00,2,2/4,2014,99 000 € (3 000 €/m²)
3 kambarių butas Šiauliuose,59.00,3,4/5,1977,49 500 € (839 €/m²)
1 kambario butas Klaipėdoje,43.00,1,5/5,1992,45 500 € (1 058 €/m²)
2 kambarių butas Klaipėdoje,46.00,2,5/5,1968,48 800 € (1 061 €/m²)
2 kambarių butas Klaipėdoje,35.00,2,4/5,1968,43 800 € (1 251 €/m²)
2 kambarių butas Klaipėdoje,48.00,2,5/5,1966,45 000 € (938 €/m²)
2 kambarių butas Klaipėdoje,45.00,2,1/5,1968,47 500 € (1 056 €/m²)
4 kambarių butas Alytaus miesto sav.,77.71,4,1/5,1973,46 000 € (592 €/m²)
3 kambarių butas Alytuje,64.35,3,1/5,1974,41 000 € (637 €/m²)
2 kambarių butas Vilniuje,42.00,2,1/5,1977,49 900 € (1 188 €/m²)
1 kambario butas Klaipėdoje,37.00,1,1/2,1914,50 000 € (1 351 €/m²)
2 kambarių butas Vilniuje,46.55,2,5/5,2021,104 000 € (2 234 €/m²)
3 kambarių butas Vilniuje,57.94,3,4/5,2021,93 000 € (1 605 €/m²)
2 kambarių butas Palangoje,35.00,2,8/8,1978,103 000 € (2 943 €/m²)
4 kambarių butas Vilniuje,108.27,4,2,2020,390 000 € (3 602 €/m²)
4 kambarių butas Vilniuje,108.27,4,2,2020,390 000 € (3 602 €/m²)
2 kambarių butas Vilniuje,47.75,2,2/16,2021,86 905 € (1 820 €/m²)
2 kambarių butas Vilniuje,51.25,2,2/5,2021,100 000 € (1 951 €/m²)
3 kambarių butas Vilniuje,52.50,3,2/5,2021,92 000 € (1 752 €/m²)
4 kambarių butas Vilniuje,76.90,4,13/16,2021,142 649 € (1 855 €/m²)
2 kambarių butas Vilniuje,47.20,2,15/16,2021,96 052 € (2 035 €/m²)
2 kambarių butas Klaipėdoje,44.00,2,3/5,1965,65 000 € (1 477 €/m²)
2 kambarių butas Klaipėdoje,47.00,2,3/5,1986,49 500 € (1 053 €/m²)
3 kambarių butas Kauno rajono sav.,63.30,3,1/2,2008,72 000 € (1 137 €/m²)
2 kambarių butas Klaipėdoje,55.00,2,8/9,1986,53 900 € (980 €/m²)
4 kambarių butas Klaipėdoje,90.00,4,1/9,1988,75 999 € (844 €/m²)
4 kambarių butas Vilniuje,119.00,4,3/4,1940,490 000 € (4 118 €/m²)
1 kambario butas Klaipėdoje,40.00,1,2/9,,84 000 € (2 100 €/m²)
4 kambarių butas Klaipėdoje,133.00,4,2,,145 000 € (1 090 €/m²)
2 kambarių butas Palangoje,52.00,2,4/4,1979,75 000 € (1 442 €/m²)
2 kambarių butas Vilniuje,45.29,2,6/6,2001,149 000 € (3 290 €/m²)
4 kambarių butas Palangoje,73.00,4,4/4,1993,180 000 € (2 466 €/m²)
4 kambarių butas Klaipėdoje,76.00,4,1/5,1981,63 000 € (829 €/m²)
4 kambarių butas Palangoje,77.35,4,4/4,1990,92 000 € (1 189 €/m²)
2 kambarių butas Vilniuje,42.00,2,1,1940,168 500 € (4 012 €/m²)
3 kambarių butas Kaune,65.54,3,3/5,,85 000 € (1 297 €/m²)
2 kambarių butas Vilniuje,38.00,2,4/4,2021,87 400 € (2 300 €/m²)
2 kambarių butas Vilnius,40.00,2,3/4,1965,67 700 € (1 693 €/m²)
4 kambarių butas Klaipėdoje,80.00,4,2/2,1918,131 000 € (1 638 €/m²)
4 kambarių butas Klaipėdoje,90.00,4,1/9,1988,75 999 € (844 €/m²)
1 kambario butas Klaipėda,35.00,1,2/3,,83 000 € (2 371 €/m²)
1 kambario butas Klaipėda,12.00,1,5/5,1969,10 800 € (900 €/m²)
2 kambarių butas Klaipėda,55.00,2,5/5,,47 000 € (855 €/m²)
1 kambario butas Klaipėda,12.00,1,4/5,,9 800 € (817 €/m²)
1 kambario butas Klaipėdos rajono sav.,39.00,1,5/5,,39 000 € (1 000 €/m²)
2 kambarių butas Druskininkų sav.,47.00,2,1/2,1964,79 000 € (1 681 €/m²)
3 kambarių butas Klaipėdoje,78.00,3,2/3,1956,117 000 € (1 500 €/m²)
2 kambarių butas Klaipėdoje,47.00,2,5/5,1978,41 900 € (891 €/m²)
3 kambarių butas Klaipėdoje,72.00,3,2/5,1970,61 000 € (847 €/m²)
3 kambarių butas Šiauliuose,103.00,3,2/4,1990,129 900 € (1 261 €/m²)
3 kambarių butas Šiauliuose,61.32,3,5/5,,53 500 € (872 €/m²)
1 kambario butas Klaipėdoje,33.00,1,9/9,1975,32 500 € (985 €/m²)
3 kambarių butas Klaipėdoje,84.00,3,14/20,,191 000 € (2 274 €/m²)
2 kambarių butas Klaipėdoje,50.00,2,8/9,,47 000 € (940 €/m²)
1 kambario butas Klaipėdoje,37.46,1,3/3,1951,67 000 € (1 789 €/m²)
3 kambarių butas Panevėžyje,62.09,3,3/3,2021,111 141 € (1 790 €/m²)
2 kambarių butas Klaipėdoje,38.00,2,5/5,1963,47 700 € (1 255 €/m²)
2 kambarių butas Panevėžyje,62.18,2,2/3,2021,111 302 € (1 790 €/m²)
2 kambarių butas Palangoje,40.00,2,1/5,2008,80 000 € (2 000 €/m²)
2 kambarių butas Klaipėdoje,57.00,2,2/5,2006,75 000 € (1 316 €/m²)
3 kambarių butas Klaipėdoje,72.00,3,11/18,2008,155 000 € (2 153 €/m²)
4 kambarių butas Klaipėdoje,90.00,4,1/9,1988,75 999 € (844 €/m²)
3 kambarių butas Klaipėdoje,62.00,3,1/5,1974,58 000 € (935 €/m²)
4 kambarių butas Šiauliuose,81.30,4,4/9,1989,83 000 € (1 021 €/m²)
3 kambarių butas Kaune,53.37,3,2/2,1963,89 900 € (1 684 €/m²)
2 kambarių butas Kaune,76.00,2,2,,129 000 € (1 697 €/m²)
1 kambario butas Klaipėdoje,30.00,1,4/5,1975,33 000 € (1 100 €/m²)
1 kambario butas Klaipėdoje,33.00,1,5/5,,37 500 € (1 136 €/m²)
3 kambarių butas Klaipėdoje,77.00,3,2/5,1989,74 999 € (974 €/m²)
3 kambarių butas Šilutės rajono sav.,96.69,3,1/1,1907,30 000 € (310 €/m²)
2 kambarių butas Šilutės rajono sav.,53.34,2,2/2,1972,9 000 € (169 €/m²)
2 kambarių butas Klaipėdoje,49.60,2,2/5,1966,53 000 € (1 069 €/m²)
4 kambarių butas Šilutės rajono sav.,77.26,4,1/2,1901,31 000 € (401 €/m²)
3 kambarių butas Šilutės rajono sav.,79.04,3,1/2,1976,25 000 € (316 €/m²)
2 kambarių butas Šilutės rajono sav.,50.00,2,1/1,1928,34 000 € (680 €/m²)
2 kambarių butas Šilutės rajono sav.,41.04,2,2/4,1965,29 000 € (707 €/m²)
2 kambarių butas Šilutės rajono sav.,104.05,2,1/5,1985,50 000 € (481 €/m²)
2 kambarių butas Pagėgių sav.,69.92,2,1/1,1926,29 990 € (429 €/m²)
2 kambarių butas Šilutės rajono sav.,44.75,2,4/5,1965,37 500 € (838 €/m²)
2 kambarių butas Šilutės rajono sav.,48.28,2,2/2,1900,21 000 € (435 €/m²)
2 kambarių butas Šilutės rajono sav.,44.15,2,1/2,1956,22 000 € (498 €/m²)
2 kambarių butas Vilniaus rajono sav.,55.47,2,3/3,1986,36 500 € (658 €/m²)
3 kambarių butas Klaipėdoje,94.98,3,20/34,2010,155 000 € (1 632 €/m²)
2 kambarių butas Švenčionių rajono sav.,55.50,2,1/2,,11 500 € (207 €/m²)
2 kambarių butas Klaipėdoje,52.00,2,4/5,1977,72 999 € (1 404 €/m²)
2 kambarių butas Klaipėdoje,73.00,2,12/20,2006,169 000 € (2 315 €/m²)
2 kambarių butas Klaipėdoje,55.00,2,5/5,1985,53 500 € (973 €/m²)
2 kambarių butas Vilniuje,114.00,2,2/3,2018,536 741 € (4 708 €/m²)
1 kambario butas Klaipėdoje,33.00,1,9/9,,32 500 € (985 €/m²)
3 kambarių butas Šiauliuose,65.00,3,4/5,1980,57 000 € (877 €/m²)
4 kambarių butas Šiauliuose,80.00,4,1/5,1978,69 900 € (874 €/m²)
3 kambarių butas Panevėžyje,132.00,3,1/3,2017,135 000 € (1 023 €/m²)
2 kambarių butas Druskininkų sav.,52.00,2,4/9,1983,56 000 € (1 077 €/m²)
2 kambarių butas Klaipėdoje,46.00,2,1/5,1967,52 000 € (1 130 €/m²)
2 kambarių butas Klaipėdoje,43.00,2,1/5,1968,47 800 € (1 112 €/m²)
2 kambarių butas Kauno rajono sav.,45.19,2,2/3,2021,42 750 € (946 €/m²)
3 kambarių butas Kauno rajono sav.,61.00,3,3/3,2021,54 900 € (900 €/m²)
2 kambarių butas Vilniuje,62.00,2,11/12,2008,92 000 € (1 484 €/m²)
2 kambarių butas Vilniuje,47.83,2,5,2004,90 000 € (1 882 €/m²)
1 kambario butas Klaipėdoje,34.38,1,3/5,2005,48 000 € (1 396 €/m²)
2 kambarių butas Klaipėdoje,39.00,2,4/4,1963,68 000 € (1 744 €/m²)
2 kambarių butas Klaipėdoje,49.65,2,3/5,1968,65 000 € (1 309 €/m²)
2 kambarių butas Palangoje,45.00,2,3/4,1974,120 000 € (2 667 €/m²)
4 kambarių butas Klaipėdoje,62.00,4,4/5,1966,65 000 € (1 048 €/m²)
3 kambarių butas Klaipėdoje,56.00,3,3/3,1956,65 000 € (1 161 €/m²)
1 kambario butas Klaipėdoje,33.00,1,5/5,,39 000 € (1 182 €/m²)
3 kambarių butas Vilniuje,50.00,3,7/9,1983,94 000 € (1 880 €/m²)
3 kambarių butas Vilniuje,108.00,3,5/9,2020,252 000 € (2 333 €/m²)
5 kambarių butas Vilniuje,210.00,5,3/5,1996,525 000 € (2 500 €/m²)
4 kambarių butas Vilniuje,118.06,4,2/3,2003,179 900 € (1 524 €/m²)
4 kambarių butas Vilniuje,118.06,4,2/3,2003,179 900 € (1 524 €/m²)
3 kambarių butas Klaipėdoje,78.00,3,3/5,1992,72 500 € (929 €/m²)
2 kambarių butas Klaipėdoje,41.00,2,2/3,2016,102 000 € (2 488 €/m²)
2 kambarių butas Kretingos rajono sav.,44.00,2,4/4,1964,39 000 € (886 €/m²)
3 kambarių butas Klaipėdoje,78.00,3,5/9,1990,60 000 € (769 €/m²)
2 kambarių butas Klaipėdoje,47.00,2,1/5,,63 000 € (1 340 €/m²)
1 kambario butas Klaipėdoje,44.00,1,5/5,,40 000 € (909 €/m²)
3 kambarių butas Klaipėdoje,67.00,3,10/13,,71 500 € (1 067 €/m²)
71 kambarių butas Klaipėdoje,3.00,71,2/3,,143 000 € (47 667 €/m²)
2 kambarių butas Klaipėdoje,39.00,2,4/4,,68 000 € (1 744 €/m²)
2 kambarių butas Vilniuje,46.07,2,1/3,2018,265 845 € (5 770 €/m²)
2 kambarių butas Klaipėdoje,38.00,2,5/5,,47 700 € (1 255 €/m²)
3 kambarių butas Palangoje,52.00,3,3/3,2021,214 000 € (4 115 €/m²)
3 kambarių butas Vilniuje,115.00,3,3,1957,290 000 € (2 522 €/m²)
2 kambarių butas Šiauliuose,55.68,2,2/5,1992,43 700 € (785 €/m²)
1 kambario butas Klaipėda,30.00,1,3/4,,37 500 € (1 250 €/m²)
1 kambario butas Klaipėda,22.00,1,4/5,,28 500 € (1 295 €/m²)
2 kambarių butas Klaipėda,51.00,2,5/5,,97 000 € (1 902 €/m²)
2 kambarių butas Klaipėda,52.00,2,5/5,,59 990 € (1 154 €/m²)
2 kambarių butas Klaipėda,38.00,2,5/5,,26 500 € (697 €/m²)
2 kambarių butas Klaipėda,48.00,2,5/5,,59 000 € (1 229 €/m²)
1 kambario butas Klaipėda,38.00,1,5/5,,57 000 € (1 500 €/m²)
1 kambario butas Klaipėdos rajono sav.,34.00,1,4/5,,32 000 € (941 €/m²)
3 kambarių butas Klaipėdoje,90.00,3,4/5,1982,85 000 € (944 €/m²)
4 kambarių butas Klaipėda,78.00,4,5/5,,60 000 € (769 €/m²)
2 kambarių butas Klaipėdos rajono sav.,50.00,2,5/5,,45 000 € (900 €/m²)
2 kambarių butas Klaipėda,49.00,2,3/3,,72 000 € (1 469 €/m²)
1 kambario butas Klaipėda,38.00,1,3/5,,57 000 € (1 500 €/m²)
2 kambarių butas Vilniuje,51.67,2,2/4,2020,107 000 € (2 071 €/m²)
2 kambarių butas Klaipėdoje,55.00,2,9/9,,53 500 € (973 €/m²)
2 kambarių butas Klaipėdoje,52.00,2,5/5,,53 000 € (1 019 €/m²)
3 kambarių butas Klaipėdoje,76.00,3,5/5,,62 900 € (828 €/m²)
2 kambarių butas Klaipėdoje,59.00,2,10/10,,55 000 € (932 €/m²)
2 kambarių butas Klaipėdoje,59.31,2,8/10,1997,63 000 € (1 062 €/m²)
2 kambarių butas Klaipėdoje,48.00,2,5/5,,42 500 € (885 €/m²)
3 kambarių butas Vilniuje,92.70,3,2/4,2020,184 000 € (1 985 €/m²)
3 kambarių butas Vilniuje,51.85,3,2/4,2020,114 000 € (2 199 €/m²)
4 kambarių butas Vilniuje,90.00,4,5/5,2002,147 000 € (1 633 €/m²)
2 kambarių butas Vilniuje,51.67,2,2/4,2020,93 000 € (1 800 €/m²)
3 kambarių butas Vilniuje,51.85,3,2/4,2020,99 000 € (1 909 €/m²)
3 kambarių butas Vilniuje,92.70,3,2/4,2020,159 500 € (1 721 €/m²)
2 kambarių butas Klaipėdoje,57.00,2,2/5,2006,75 000 € (1 316 €/m²)
1 kambario butas Vilniuje,33.00,1,1/9,1971,58 000 € (1 758 €/m²)
2 kambarių butas Vilniuje,42.00,2,1/3,1962,52 000 € (1 238 €/m²)
3 kambarių butas Šalčininkų rajono sav.,69.00,3,2/2,1978,55 000 € (797 €/m²)
3 kambarių butas Šiauliuose,80.12,3,4/4,1959,92 000 € (1 148 €/m²)
2 kambarių butas Palangoje,33.00,2,2/4,2014,109 000 € (3 303 €/m²)
1 kambario butas Palangoje,33.00,1,0/4,2018,99 000 € (3 000 €/m²)
4 kambarių butas Klaipėdoje,76.00,4,5/5,1998,79 000 € (1 039 €/m²)
2 kambarių butas Klaipėdoje,39.00,2,4/4,2012,73 000 € (1 872 €/m²)
3 kambarių butas Vilniuje,78.86,3,9/9,2019,163 000 € (2 067 €/m²)
2 kambarių butas Vilniuje,31.58,2,3/6,2021,92 000 € (2 913 €/m²)
3 kambarių butas Kauno rajono sav.,63.82,3,1/3,2020,51 056 € (800 €/m²)
1 kambario butas Vilniuje,36.00,1,7/9,1991,65 000 € (1 806 €/m²)
4 kambarių butas Klaipėdoje,62.00,4,4/5,1965,65 000 € (1 048 €/m²)
3 kambarių butas Klaipėdoje,70.00,3,2/5,1969,78 000 € (1 114 €/m²)
3 kambarių butas Klaipėdoje,96.00,3,4/6,2005,130 000 € (1 354 €/m²)
4 kambarių butas Klaipėdoje,72.00,4,4/5,1970,86 000 € (1 194 €/m²)
2 kambarių butas Klaipėdoje,55.00,2,2/4,2015,100 000 € (1 818 €/m²)
3 kambarių butas Klaipėdoje,56.00,3,3/3,1956,65 000 € (1 161 €/m²)
3 kambarių butas Klaipėdoje,71.00,3,2/3,2012,143 000 € (2 014 €/m²)
1 kambario butas Vilniuje,39.00,1,1/6,2013,72 400 € (1 856 €/m²)
1 kambario butas Palangoje,33.00,1,1/4,2018,99 000 € (3 000 €/m²)
3 kambarių butas Vilniuje,55.00,3,1/2,1980,65 000 € (1 182 €/m²)
2 kambarių butas Klaipėdoje,48.00,2,5/5,1966,45 000 € (938 €/m²)
2 kambarių butas Palangoje,24.00,2,4/4,2016,75 000 € (3 125 €/m²)
4 kambarių butas Palangoje,80.00,4,1/4,1990,107 000 € (1 338 €/m²)
3 kambarių butas Klaipėdoje,67.00,3,4/5,2005,113 000 € (1 687 €/m²)
3 kambarių butas Klaipėdoje,60.00,3,4/5,1975,60 000 € (1 000 €/m²)
3 kambarių butas Vilnius ,72.00,3,1/4,2017,116 000 € (1 611 €/m²)
3 kambarių butas Trakų rajono sav.,72.00,3,1/4,2017,116 000 € (1 611 €/m²)
3 kambarių butas Klaipėdoje,63.00,3,5/5,1972,59 500 € (944 €/m²)
4 kambarių butas Vilniuje,108.00,4,4/9,2020,243 000 € (2 250 €/m²)
2 kambarių butas Kaune,35.00,2,4/4,1968,43 000 € (1 229 €/m²)
2 kambarių butas Klaipėdoje,65.66,2,5/5,1987,64 000 € (975 €/m²)
2 kambarių butas Ukmergės rajono sav.,64.86,2,1,1984,2 816 € (43 €/m²)
2 kambarių butas Vilniuje,51.00,2,1,1875,150 000 € (2 941 €/m²)
4 kambarių butas Vilniuje,126.89,4,3,1989,280 000 € (2 207 €/m²)
1 kambario butas Kauno rajono sav.,3742.00,1,5/5,1992,38 900 € (10 €/m²)
3 kambarių butas Klaipėdoje,63.92,3,5/9,1973,60 000 € (939 €/m²)
3 kambarių butas Trakų rajono sav.,57.17,3,3/3,2017,95 000 € (1 662 €/m²)
2 kambarių butas Šilutės rajono sav.,48.40,2,1/1,1971,15 000 € (310 €/m²)
3 kambarių butas Klaipėdoje,77.00,3,2/5,1990,75 000 € (974 €/m²)
3 kambarių butas Vilniuje,64.00,3,2/3,1954,195 000 € (3 047 €/m²)
3 kambarių butas Mažeikių rajono sav.,64.00,3,5/9,1977,61 900 € (967 €/m²)
3 kambarių butas Kauno rajono sav.,59.00,3,1/3,2021,59 000 € (1 000 €/m²)
3 kambarių butas Kauno rajono sav.,53.00,3,1/3,2021,53 000 € (1 000 €/m²)
3 kambarių butas Kauno rajono sav.,60.00,3,2/3,2021,56 900 € (948 €/m²)
2 kambarių butas Kauno rajono sav.,47.00,2,2/3,2021,44 600 € (949 €/m²)
2 kambarių butas Kauno rajono sav.,45.00,2,2/3,2021,42 700 € (949 €/m²)
2 kambarių butas Kauno rajono sav.,39.00,2,1/3,2021,39 000 € (1 000 €/m²)
1 kambario butas Vilniuje,21.00,1,6/9,1972,37 900 € (1 805 €/m²)
2 kambarių butas Kaune,43.72,2,5/5,1969,48 900 € (1 118 €/m²)
3 kambarių butas Klaipėdoje,132.86,3,2/3,1930,135 000 € (1 016 €/m²)
4 kambarių butas Vilniuje,129.08,4,14/16,2005,289 000 € (2 239 €/m²)
3 kambarių butas Vilniaus rajono sav.,69.00,3,2/2,1977,44 500 € (645 €/m²)
4 kambarių butas Šventojoje,75.15,4,1/3,1990,115 000 € (1 530 €/m²)
2 kambarių butas Kelmės rajono sav.,59.09,2,2/2,1960,14 000 € (237 €/m²)
2 kambarių butas Klaipėdoje,67.00,2,4/5,1990,69 300 € (1 034 €/m²)
2 kambarių butas Klaipėdoje,67.00,2,4/5,1990,69 500 € (1 037 €/m²)
3 kambarių butas Klaipėdoje,78.86,3,5/5,1986,56 000 € (710 €/m²)
3 kambarių butas Palangoje ,85.09,3,3/3,2007,180 000 € (2 115 €/m²)
1 kambario butas Klaipėdoje,28.92,1,3/5,1968,39 900 € (1 380 €/m²)
1 kambario butas Palangoje,23.03,1,2/4,1994,54 000 € (2 345 €/m²)
2 kambarių butas Vilniuje,40.00,2,7/9,2020,129 995 € (3 250 €/m²)
3 kambarių butas Klaipėdoje,64.00,3,3/9,,89 000 € (1 391 €/m²)
1 kambario butas Šiaulių rajono sav.,29.00,1,3/4,1973,20 000 € (690 €/m²)
1 kambario butas Klaipėdoje,34.00,1,2/5,,28 900 € (850 €/m²)
1 kambario butas Vilniuje,29.00,1,4/4,1963,27 600 € (952 €/m²)
1 kambario butas Vilniuje,34.00,1,2/5,2020,82 000 € (2 412 €/m²)
2 kambarių butas Vilniuje,45.00,2,2/9,2020,115 000 € (2 556 €/m²)
3 kambarių butas Kelmės rajono sav.,63.77,3,1/2,1960,27 000 € (423 €/m²)
2 kambarių butas Vilniuje,48.00,2,3/4,2012,94 500 € (1 969 €/m²)
2 kambarių butas Klaipėdoje,47.00,2,3/5,,49 500 € (1 053 €/m²)
2 kambarių butas Klaipėdoje,48.00,2,5/5,,45 000 € (938 €/m²)
2 kambarių butas Vilniaus rajono sav.,47.37,2,1/3,2018,67 000 € (1 414 €/m²)
2 kambarių butas Vilniuje,47.37,2,1/3,2018,67 000 € (1 414 €/m²)
1 kambario butas Klaipėda,18.00,1,5/5,,11 300 € (628 €/m²)
3 kambarių butas Klaipėdoje,78.00,3,2/5,1984,67 000 € (859 €/m²)
3 kambarių butas Klaipėdoje,70.00,3,1/4,1960,89 900 € (1 284 €/m²)
2 kambarių butas Klaipėdoje,41.00,2,2/3,2016,102 000 € (2 488 €/m²)
3 kambarių butas Kaune,65.00,3,2/3,2013,88 000 € (1 354 €/m²)
5 kambarių butas Vilniuje,210.00,5,3/5,1996,525 000 € (2 500 €/m²)
2 kambarių butas Kaune,54.00,2,1,,97 000 € (1 796 €/m²)
1 kambario butas Šiauliuose,29.18,1,5/5,1970,35 800 € (1 227 €/m²)
3 kambarių butas Klaipėdoje,70.00,3,2/3,2012,142 999 € (2 043 €/m²)
4 kambarių butas Kauno rajono sav.,100.00,4,1,,99 000 € (990 €/m²)
3 kambarių butas Klaipėdoje,61.00,3,3/3,1939,88 000 € (1 443 €/m²)
5 kambarių butas Vilniuje,198.26,5,3/4,1998,299 500 € (1 511 €/m²)
1 kambario butas Klaipėdoje,44.00,1,1/5,1986,42 000 € (955 €/m²)
3 kambarių butas Klaipėdoje,62.00,3,9/9,1975,75 000 € (1 210 €/m²)
4 kambarių butas Klaipėdoje,88.00,4,5/9,1987,60 000 € (682 €/m²)
3 kambarių butas Klaipėdoje,69.00,3,7/9,1980,60 000 € (870 €/m²)
2 kambarių butas Klaipėdoje,56.00,2,5/10,1995,58 000 € (1 036 €/m²)
2 kambarių butas Vilniuje,55.00,2,5/8,2016,92 000 € (1 673 €/m²)
2 kambarių butas Palangoje,24.00,2,4/4,2016,75 000 € (3 125 €/m²)
4 kambarių butas Palangoje,64.00,4,4/4,2017,77 000 € (1 203 €/m²)
3 kambarių butas Klaipėdoje,96.00,3,4/6,2005,130 000 € (1 354 €/m²)
2 kambarių butas Klaipėdoje,54.00,2,4/5,1982,59 400 € (1 100 €/m²)
2 kambarių butas Kauno rajono sav.,42.00,2,1/4,1963,33 000 € (786 €/m²)
3 kambarių butas Klaipėdoje,76.00,3,5/5,1994,62 000 € (816 €/m²)
3 kambarių butas Vilniuje,100.88,3,3/3,2001,345 000 € (3 420 €/m²)
2 kambarių butas Klaipėdoje,56.00,2,3/5,1984,54 000 € (964 €/m²)
4 kambarių butas Šiauliuose,87.00,4,5/5,1993,57 900 € (666 €/m²)
1 kambario butas Klaipėda,18.00,1,2/5,,15 500 € (861 €/m²)
1 kambario butas Klaipėda,37.00,1,2/3,,67 770 € (1 832 €/m²)
2 kambarių butas Klaipėda,49.00,2,8/9,,50 000 € (1 020 €/m²)
2 kambarių butas Klaipėdoje,53.00,2,5/5,1983,53 500 € (1 009 €/m²)
3 kambarių butas Vilniuje,102.00,3,4/4,1900,325 000 € (3 186 €/m²)
2 kambarių butas Klaipėdoje,54.00,2,2/9,1990,60 000 € (1 111 €/m²)
2 kambarių butas Klaipėdoje,53.20,2,8/9,1970,52 000 € (977 €/m²)
2 kambarių butas Klaipėdoje,49.00,2,1/9,,53 900 € (1 100 €/m²)
2 kambarių butas Kaune,47.61,2,5/5,1975,49 900 € (1 048 €/m²)
2 kambarių butas Klaipėdoje,55.00,2,3/5,,50 900 € (925 €/m²)
2 kambarių butas Kauno rajono sav.,40.10,2,2/3,2020,36 090 € (900 €/m²)
2 kambarių butas Klaipėdoje,44.00,2,4/5,,45 000 € (1 023 €/m²)
1 kambario butas Vilniuje,32.42,1,3/6,2021,71 300 € (2 199 €/m²)
2 kambarių butas Klaipėdoje,47.00,2,5/5,1985,42 500 € (904 €/m²)
2 kambarių butas Klaipėdoje,65.00,2,31/34,2009,200 000 € (3 077 €/m²)
3 kambarių butas Klaipėdoje,80.00,3,2/4,,73 000 € (913 €/m²)
