,Area,Room,Year,Flat_floor,Total_floor,Price_eur,Price_m2,City
130,70.0,3,2009,3,6,268000,3829,Vilnius
131,50.0,2,1994,3,4,70000,1400,Palanga
132,70.0,3,2006,1,3,147000,2100,Palanga
133,48.0,2,1983,7,9,64000,1333,Klaipeda
134,11.0,1,1968,5,5,13000,1182,Klaipeda
135,141.0,4,1995,3,3,125000,887,Klaipeda
136,96.0,3,2005,4,6,135000,1406,Klaipeda
137,65.0,3,2009,1,5,109000,1677,Klaipeda
138,46.82,2,1970,2,2,6900,147,Regionas
139,85.0,3,2013,4,5,128000,1506,Klaipeda
140,70.0,3,2009,3,6,268000,3829,Vilnius
141,170.0,4,1928,3,3,159000,935,Klaipeda
142,65.0,3,1994,3,5,65000,1000,Klaipeda
143,54.0,1,2005,9,13,69000,1278,Klaipeda
144,54.0,2,2005,9,13,69000,1278,Klaipeda
145,62.0,2,1987,5,5,60000,968,Klaipeda
146,60.83,2,2007,2,5,80000,1315,Klaipeda
147,127.0,3,2007,3,4,740000,5827,Vilnius
148,42.0,2,2019,1,5,114000,2714,Klaipeda
150,145.23,4,2021,2,4,522828,3600,Vilnius
151,123.14,4,2021,3,4,480246,3900,Vilnius
152,112.24,4,2021,1,4,370392,3300,Vilnius
153,112.22,4,2021,2,4,403992,3600,Vilnius
154,123.09,4,2021,2,4,436970,3550,Vilnius
155,58.0,2,2011,5,12,113000,1948,Klaipeda
156,93.0,2,1980,1,3,92000,989,Druskininkai
157,56.0,2,1957,1,5,170000,3036,Vilnius
158,110.46,3,1995,3,5,99500,901,Siauliai
159,40.0,2,2016,2,3,99900,2498,Klaipeda
160,63.4,3,1975,9,9,89000,1404,Vilnius
161,89.86,3,1990,2,3,165000,1836,Vilnius
162,43.0,1,1987,9,9,49000,1140,Klaipeda
164,95.93,5,2021,3,3,279000,2908,Vilnius
165,60.61,3,1968,2,5,68000,1122,Vilnius
166,66.26,2,2003,1,7,114000,1720,Vilnius
167,45.36,2,2013,4,6,103000,2271,Vilnius
168,54.03,2,2021,9,9,95000,1758,Vilnius
169,70.0,3,2017,4,4,219000,3129,Vilnius
170,154.0,5,1995,1,2,162000,1052,Vilnius
171,217.0,5,1995,2,2,162000,747,Vilnius
172,21.25,1,1983,6,9,48500,2282,Vilnius
173,64.06,3,1979,3,5,45700,713,Panevezys
174,55.0,2,1990,2,9,59000,1073,Klaipeda
175,36.0,1,1990,5,5,28500,792,Panevezys
177,49.0,2,2017,2,3,178000,3633,Palanga
178,49.69,2,2021,3,3,159800,3216,Vilnius
179,65.65,3,2021,3,3,197000,3001,Vilnius
180,72.94,4,2021,2,3,241000,3304,Vilnius
