,Area,Room,Year,Flat_floor,Total_floor,Price_eur,Price_m2,City
610,44.0,1,1989,5,5,40000,909,Klaipeda
611,43.84,2,2021,3,3,139000,3171,Vilnius
612,53.0,2,1989,3,9,74000,1396,Klaipeda
613,39.0,2,1985,3,7,92000,2359,Vilnius
614,66.0,3,1968,5,5,82000,1242,Vilnius
615,106.0,4,2005,2,2,169000,1594,Vilnius
616,54.53,2,1988,1,9,66500,1220,Klaipeda
617,73.0,3,1960,2,5,87000,1192,Kaunas
618,37.0,2,1961,5,5,87000,2351,Klaipeda
619,48.0,2,1981,5,5,54999,1146,Kaunas
620,56.0,2,1956,4,4,88000,1571,Klaipeda
621,22.0,1,1971,4,5,14000,636,Siauliai
623,107.0,3,1970,1,2,46900,438,Siauliai
624,71.56,3,2007,3,4,168500,2355,Vilnius
625,162.09,4,2008,2,2,159000,981,Regionas
626,101.45,4,2007,4,9,215000,2119,Vilnius
627,49.0,2,1972,10,12,93500,1908,Vilnius
628,62.0,3,2021,4,9,87000,1403,Vilnius
629,64.0,3,1986,8,9,65500,1023,Siauliai
630,42.16,2,1965,5,5,37000,878,Regionas
631,101.45,4,2007,4,9,215000,2119,Vilnius
632,28.12,1,2019,1,3,62500,2223,Vilnius
633,76.0,3,1998,9,9,68000,895,Klaipeda
634,64.53,3,1969,5,5,23000,356,Regionas
635,35.0,2,1968,4,5,43800,1251,Klaipeda
636,85.72,3,1999,3,5,139000,1622,Vilnius
637,90.0,4,1990,1,9,58000,644,Klaipeda
638,48.0,2,2015,1,11,135000,2813,Vilnius
642,66.26,3,2003,1,7,114000,1720,Vilnius
643,51.0,2,2016,5,5,96999,1902,Klaipeda
654,40.02,1,1990,1,5,52500,1312,Vilnius
655,36.89,2,1984,2,5,49000,1328,Kaunas
657,53.92,2,2021,6,9,75000,1391,Vilnius
658,76.56,4,2021,3,9,100000,1306,Vilnius
659,78.0,3,2011,5,9,108000,1385,Klaipeda
660,47.0,2,1986,3,5,49500,1053,Klaipeda
661,55.0,2,1985,9,9,55000,1000,Klaipeda
662,49.0,2,1981,5,5,53500,1092,Klaipeda
663,46.0,2,1967,1,5,52000,1130,Klaipeda
664,52.0,2,1977,4,5,73000,1404,Klaipeda
665,47.0,2,1967,4,5,49900,1062,Klaipeda
666,55.0,2,1936,2,3,79900,1453,Klaipeda
667,46.0,2,1968,4,5,46000,1000,Klaipeda
668,49.0,2,1978,1,9,53900,1100,Klaipeda
670,54.0,2,1990,2,9,58000,1074,Klaipeda
671,48.0,2,1983,7,9,64000,1333,Klaipeda
672,54.0,2,1995,5,5,46900,869,Klaipeda
673,55.0,2,1991,3,5,51000,927,Klaipeda
674,60.0,2,1990,1,5,55000,917,Klaipeda
675,70.0,2,1912,1,3,72000,1029,Klaipeda
676,45.0,2,1970,5,5,55000,1222,Klaipeda
678,58.0,2,1951,3,3,58000,1000,Klaipeda
679,63.0,2,2006,4,5,81000,1286,Klaipeda
680,61.0,2,1994,4,5,53000,869,Klaipeda
681,52.0,2,1980,5,5,60000,1154,Klaipeda
682,50.0,2,2009,1,5,96000,1920,Klaipeda
683,50.0,2,1977,6,9,60000,1200,Klaipeda
684,52.0,2,1996,1,5,65300,1256,Klaipeda
685,53.0,2,1973,9,9,59000,1113,Klaipeda
686,39.0,2,1964,5,5,65000,1667,Klaipeda
687,46.0,2,1930,3,4,94900,2063,Klaipeda
688,45.0,2,1966,5,5,55000,1222,Klaipeda
689,35.0,2,1957,1,4,75000,2143,Klaipeda
691,38.0,2,1973,5,5,39000,1026,Klaipeda
692,48.0,2,1981,6,9,54000,1125,Klaipeda
693,47.0,2,1980,5,5,56000,1191,Klaipeda
694,47.0,2,2006,1,9,74000,1574,Klaipeda
695,65.0,2,2010,6,34,90000,1385,Klaipeda
696,54.0,2,1977,2,3,117000,2167,Klaipeda
697,43.0,2,1967,1,4,63000,1465,Klaipeda
698,44.0,2,1960,4,4,40000,909,Klaipeda
699,45.0,2,1932,3,3,70000,1556,Klaipeda
700,55.0,2,1989,6,9,48000,873,Klaipeda
701,63.0,2,1986,4,5,58000,921,Klaipeda
702,64.62,3,2012,2,2,85000,1315,Regionas
703,54.0,2,2007,2,5,78900,1461,Siauliai
704,53.5,2,2020,2,5,115000,2150,Klaipeda
705,54.0,2,2002,9,10,67000,1241,Klaipeda
707,60.0,2,2016,2,5,97000,1617,Klaipeda
708,65.0,4,2021,1,1,71500,1100,Regionas
709,50.25,3,2020,4,4,77000,1532,Klaipeda
710,50.48,2,2020,4,4,74000,1466,Klaipeda
711,39.69,2,2020,4,4,59000,1487,Klaipeda
712,53.0,3,2012,1,3,155000,2925,Palanga
713,63.68,2,1985,1,4,69000,1084,Druskininkai
715,45.0,2,1957,2,2,36500,811,Klaipeda
716,62.0,3,1975,4,5,58000,935,Klaipeda
717,44.0,1,1989,5,5,40900,930,Klaipeda
718,88.0,4,1988,5,9,60500,688,Klaipeda
719,68.29,3,2018,5,9,118963,1742,Kaunas
720,33.46,1,1991,2,5,35500,1061,Siauliai
721,57.0,3,1991,1,2,33500,588,Regionas
722,57.0,2,2006,5,5,91500,1605,Klaipeda
723,37.0,2,2021,2,2,118000,3189,Regionas
724,55.0,2,1974,4,4,99999,1818,Klaipeda
725,60.0,3,2020,3,7,115000,1917,Klaipeda
727,60.0,3,2020,3,7,115000,1917,Klaipeda
728,65.0,3,1971,2,5,57000,877,Regionas
729,45.0,2,1967,1,5,45000,1000,Regionas
730,64.4,3,1984,4,5,74000,1149,Panevezys
731,53.0,2,1989,3,9,74000,1396,Klaipeda
732,35.0,2,1925,2,3,83000,2371,Klaipeda
733,78.0,3,1998,9,9,68000,872,Klaipeda
734,49.0,2,1972,10,12,93500,1908,Vilnius
735,91.0,4,2016,1,2,134000,1473,Druskininkai
737,58.0,2,2008,4,4,117000,2017,Vilnius
739,33.3,1,1974,5,5,52900,1589,Vilnius
740,71.56,2,2007,3,4,168500,2355,Vilnius
741,40.49,2,2018,4,4,103000,2544,Vilnius
753,47.0,2,2006,1,9,74000,1574,Klaipeda
754,61.0,3,1979,3,5,66500,1090,Klaipeda
755,43.0,2,1967,1,4,63000,1465,Klaipeda
756,44.0,2,1960,4,4,40000,909,Klaipeda
757,45.0,2,1932,3,3,70000,1556,Klaipeda
758,64.0,3,1977,3,5,66000,1031,Klaipeda
759,55.0,2,1989,6,9,48000,873,Klaipeda
760,63.0,2,1986,4,5,58000,921,Klaipeda
761,66.0,2,2005,3,7,107000,1621,Klaipeda
762,54.0,2,1982,4,5,59400,1100,Klaipeda
763,50.0,2,1980,5,9,43500,870,Klaipeda
764,53.0,2,1983,5,5,53500,1009,Klaipeda
765,61.0,2,1993,4,5,62000,1016,Klaipeda
766,60.0,2,1997,10,10,55000,917,Klaipeda
767,63.0,2,2006,4,5,81000,1286,Klaipeda
768,41.0,2,2016,2,3,102000,2488,Klaipeda
769,56.0,2,2005,5,13,86000,1536,Klaipeda
770,57.0,2,2017,3,3,88000,1544,Klaipeda
771,79.75,4,1978,4,5,65000,815,Klaipeda
772,35.0,2,1968,4,5,44900,1283,Klaipeda
773,64.0,3,1983,1,9,57000,891,Klaipeda
775,64.2,3,2007,4,4,96800,1508,Klaipeda
776,75.0,3,2009,1,2,119000,1587,Klaipeda
777,64.0,3,1978,1,9,71500,1117,Klaipeda
778,46.94,2,1967,4,5,50999,1086,Klaipeda
779,88.0,4,2006,7,7,135000,1534,Klaipeda
780,50.0,2,1977,9,2,54000,1080,Klaipeda
781,48.0,2,1981,6,9,51000,1063,Klaipeda
782,63.0,2,2018,2,5,127000,2016,Klaipeda
783,62.0,4,1966,4,5,65000,1048,Klaipeda
784,69.59,3,1982,4,9,56000,805,Klaipeda
785,44.0,1,1990,4,10,50000,1136,Klaipeda
786,30.29,1,1880,1,2,30900,1020,Regionas
787,51.0,2,1969,3,5,70000,1373,Klaipeda
788,59.0,3,1960,2,3,59500,1008,Klaipeda
789,72.0,4,1970,4,5,88000,1222,Klaipeda
790,46.22,2,2012,2,3,76500,1655,Regionas
791,95.0,4,2007,7,12,250000,2632,Klaipeda
792,56.0,3,1979,4,4,63000,1125,Klaipeda
793,65.0,3,1969,5,5,79999,1231,Klaipeda
794,45.0,2,2018,1,4,90000,2000,Klaipeda
795,60.72,3,1975,4,5,59999,988,Klaipeda
796,76.0,3,1993,5,5,57000,750,Klaipeda
797,79.0,3,2008,6,9,123000,1557,Klaipeda
798,64.0,3,1970,4,9,47000,734,Klaipeda
799,85.0,3,2006,6,7,127000,1494,Klaipeda
800,58.77,3,1975,2,5,62500,1063,Klaipeda
801,85.0,4,1968,2,5,98000,1153,Klaipeda
802,26.1,1,1968,5,5,27800,1065,Klaipeda
803,65.0,3,2019,2,4,93000,1431,Klaipeda
804,78.0,4,1982,3,5,77000,987,Klaipeda
805,42.0,2,1968,4,5,62000,1476,Klaipeda
806,55.0,2,1986,8,9,53900,980,Klaipeda
807,55.0,2,1967,6,9,50000,909,Klaipeda
808,61.0,3,1978,2,5,67500,1107,Klaipeda
809,47.0,2,1984,1,5,49000,1043,Klaipeda
810,71.85,3,1970,2,5,62000,863,Klaipeda
811,65.0,3,2007,1,7,109000,1677,Klaipeda
812,54.45,2,1982,2,5,53000,973,Klaipeda
813,76.0,3,2008,2,4,116900,1538,Klaipeda
814,55.0,2,1984,3,5,54900,998,Klaipeda
815,96.0,4,2006,4,6,130000,1354,Klaipeda
816,57.0,2,2006,2,5,75000,1316,Klaipeda
817,49.0,2,1936,3,3,72000,1469,Klaipeda
819,48.0,2,1979,5,5,59000,1229,Klaipeda
820,43.0,2,1962,4,4,59000,1372,Klaipeda
821,55.0,2,1977,5,5,47000,855,Klaipeda
822,53.0,2,1988,5,5,59990,1132,Klaipeda
823,47.0,2,1973,5,5,55500,1181,Klaipeda
824,35.0,2,1925,2,3,83000,2371,Klaipeda
825,55.0,2,1991,3,5,51000,927,Klaipeda
826,69.13,3,1965,1,5,71000,1027,Panevezys
827,55.86,3,2021,3,5,106000,1898,Vilnius
828,76.0,3,1994,5,5,62900,828,Klaipeda
829,120.0,4,2021,3,4,498000,4150,Vilnius
830,47.0,2,1967,5,5,48800,1038,Klaipeda
831,96.53,4,1979,2,2,16000,166,Regionas
832,30.0,1,1968,3,4,37500,1250,Klaipeda
833,28.9,1,1880,1,3,59900,2073,Kaunas
834,119.0,5,1907,1,2,58000,487,Regionas
835,250.12,8,1925,2,2,259000,1036,Vilnius
836,80.57,3,2021,3,5,236311,2933,Vilnius
838,103.0,4,1948,1,2,310000,3010,Vilnius
839,35.0,2,1925,2,3,80000,2286,Klaipeda
840,58.0,2,2010,2,6,132500,2284,Regionas
841,43.0,2,1920,1,2,79900,1858,Klaipeda
842,32.0,2,1979,2,9,51000,1594,Klaipeda
843,28.0,1,1972,4,5,39000,1393,Klaipeda
844,47.27,2,1973,5,5,55500,1174,Klaipeda
846,50.38,3,1961,3,4,65000,1290,Klaipeda
847,76.0,3,2008,6,9,119500,1572,Vilnius
848,42.0,2,1968,4,4,54800,1305,Vilnius
850,30.0,1,1968,3,4,37500,1250,Klaipeda
851,25.0,2,2020,1,2,92500,3700,Palanga
852,51.79,2,2021,2,3,169000,3263,Vilnius
853,48.0,2,1993,7,9,64000,1333,Klaipeda
854,27.0,1,1967,5,5,30000,1111,Klaipeda
855,77.0,3,1990,2,5,72000,935,Klaipeda
856,51.0,2,1957,5,5,97000,1902,Klaipeda
857,70.0,4,1967,1,5,68500,979,Klaipeda
858,88.0,4,2006,7,7,135000,1534,Klaipeda
859,63.0,3,1972,5,5,62000,984,Klaipeda
860,40.27,2,2021,3,5,54500,1353,Regionas
861,71.47,4,2020,5,5,109000,1525,Panevezys
862,41.08,2,2021,4,5,55600,1353,Regionas
863,38.61,2,2021,5,5,53200,1378,Regionas
864,58.14,2,2021,1,5,72600,1249,Regionas
865,35.69,2,2021,1,5,49900,1398,Regionas
866,53.43,3,2021,1,5,67300,1260,Regionas
867,53.26,2,2018,1,9,74000,1389,Vilnius
868,60.0,3,1972,4,5,68000,1133,Klaipeda
869,63.0,2,1988,4,5,59999,952,Klaipeda
870,33.0,2,1938,1,2,42500,1288,Klaipeda
871,90.0,4,1988,1,5,68000,756,Klaipeda
872,88.0,4,1987,5,9,60000,682,Klaipeda
873,51.0,3,1965,4,5,79000,1549,Vilnius
875,49.1,2,1974,8,9,85000,1731,Vilnius
876,49.1,2,2015,8,9,85000,1731,Vilnius
877,58.24,2,2016,3,3,99000,1700,Klaipeda
878,54.0,2,1977,2,3,117000,2167,Klaipeda
879,64.0,3,1973,5,9,60000,938,Klaipeda
880,17.0,1,1948,2,4,29500,1735,Vilnius
881,54.0,2,1982,4,5,59400,1100,Klaipeda
882,70.0,4,1980,5,5,65000,929,Regionas
883,59.0,2,2006,4,4,165000,2797,Palanga
884,87.0,4,1990,1,1,110000,1264,Regionas
885,48.0,2,1979,5,5,57000,1188,Klaipeda
886,53.0,2,1988,5,5,59990,1132,Klaipeda
887,69.65,3,1958,2,3,75900,1090,Siauliai
888,54.0,2,1982,4,5,59400,1100,Klaipeda
889,52.0,2,1994,5,5,62500,1202,Klaipeda
890,51.0,2,2016,5,5,97000,1902,Klaipeda
891,45.0,2,1968,2,5,48000,1067,Klaipeda
892,48.0,2,1973,5,5,55500,1156,Klaipeda
893,55.0,2,1985,9,9,53000,964,Klaipeda
894,53.0,2,1988,5,5,59990,1132,Klaipeda
895,44.47,2,1968,5,5,46200,1039,Panevezys
896,81.65,3,1989,1,5,73000,894,Siauliai
897,55.33,2,1977,5,5,47000,849,Klaipeda
900,51.32,1,2018,1,4,67000,1306,Palanga
901,48.0,2,1979,5,5,59000,1229,Klaipeda
902,79.37,4,2021,3,3,78576,990,Regionas
903,96.0,4,2006,4,6,130000,1354,Klaipeda
904,56.67,3,2020,1,3,106000,1870,Kaunas
905,63.0,2,2006,4,5,81000,1286,Klaipeda
906,65.14,3,2018,2,4,104000,1597,Palanga
907,67.0,3,1991,5,5,93500,1396,Vilnius
909,63.0,2,1986,4,5,58000,921,Klaipeda
910,50.0,2,1977,6,9,60000,1200,Klaipeda
911,58.0,2,1991,7,9,62500,1078,Klaipeda
912,30.0,1,1967,4,4,37999,1267,Klaipeda
913,47.0,2,1974,4,5,16000,340,Regionas
914,40.0,2,1959,1,2,60000,1500,Klaipeda
915,56.0,2,2014,2,3,95000,1696,Klaipeda
916,36.55,2,2013,1,4,83000,2271,Palanga
917,91.0,4,2015,2,2,235000,2582,Vilnius
918,76.7,3,1989,3,5,79000,1030,Klaipeda
919,103.0,3,1939,3,3,101000,981,Klaipeda
920,77.85,3,1988,5,9,63000,809,Klaipeda
921,37.0,1,1987,5,5,60000,1622,Vilnius
922,63.64,3,1968,3,9,122000,1917,Vilnius
923,37.86,2,1968,5,5,52000,1373,Vilnius
924,30.24,1,2005,4,5,79000,2612,Vilnius
925,46.71,3,1990,2,2,49000,1049,Vilnius
926,37.8,2,1960,1,4,72500,1918,Vilnius
927,45.51,1,1940,2,2,54000,1187,Vilnius
928,61.17,3,1958,1,3,77000,1259,Vilnius
930,83.0,3,2021,9,9,120000,1446,Vilnius
931,50.96,3,2021,1,9,87000,1707,Vilnius
932,83.0,4,2021,9,9,120000,1446,Vilnius
933,53.92,2,2021,7,9,75000,1391,Vilnius
934,53.92,2,2021,8,9,77000,1428,Vilnius
935,72.53,4,2021,2,9,100000,1379,Vilnius
936,50.17,3,2021,3,9,89000,1774,Vilnius
937,72.53,3,2021,3,9,100000,1379,Vilnius
938,76.56,4,2021,4,9,101000,1319,Vilnius
939,66.49,3,2021,1,9,91000,1369,Vilnius
940,76.56,4,2021,7,9,101000,1319,Vilnius
941,83.0,4,2021,9,9,100000,1205,Vilnius
942,34.35,2,1986,6,6,45500,1325,Vilnius
943,30.0,1,1968,3,4,37500,1250,Klaipeda
944,55.99,3,1968,2,2,10999,196,Regionas
945,70.0,3,2019,4,4,219500,3136,Vilnius
946,72.0,2,2013,2,3,187900,2610,Vilnius
947,50.0,2,2019,2,4,122000,2440,Vilnius
948,30.8,1,1969,3,4,22500,731,Regionas
949,97.01,3,2006,2,3,160000,1649,Panevezys
950,63.96,3,1980,9,9,55900,874,Siauliai
951,68.68,3,1982,5,5,27900,406,Regionas
952,69.3,3,2008,4,5,240000,3463,Vilnius
953,88.47,4,1880,2,3,93000,1051,Panevezys
954,127.78,5,1932,3,6,224000,1753,Kaunas
955,79.79,3,2012,6,6,139000,1742,Vilnius
956,69.3,2,2008,4,5,240000,3463,Vilnius
957,33.0,1,1986,9,9,41000,1242,Klaipeda
958,85.0,3,2013,4,5,128000,1506,Klaipeda
959,29.0,1,1974,3,5,37000,1276,Klaipeda
960,50.0,2,1988,4,4,46900,938,Regionas
961,105.0,3,1940,1,2,430000,4095,Vilnius
962,68.53,4,1984,3,12,62000,905,Kaunas
963,98.79,4,1970,4,5,190000,1923,Kaunas
964,65.64,3,1979,11,12,109000,1661,Vilnius
966,86.84,3,1956,1,2,90000,1036,Klaipeda
967,37.0,1,1957,2,3,67770,1832,Klaipeda
968,51.0,2,2016,5,5,97000,1902,Klaipeda
969,58.28,2,1962,3,3,89700,1539,Panevezys
970,51.0,2,2016,5,5,97000,1902,Klaipeda
971,26.0,1,1987,2,3,15500,596,Klaipeda
972,30.0,1,1990,4,4,38000,1267,Klaipeda
973,65.64,3,1979,11,12,109000,1661,Vilnius
974,35.0,1,2020,1,3,69700,1991,Vilnius
975,88.11,3,2005,7,10,185000,2100,Vilnius
976,88.11,3,2005,7,10,185000,2100,Vilnius
977,88.11,4,2005,7,10,185000,2100,Vilnius
978,37.0,1,1987,1,9,61000,1649,Vilnius
979,57.69,2,2007,1,4,99000,1716,Siauliai
980,46.44,2,2016,2,5,135000,2907,Vilnius
981,119.13,3,1960,3,4,155000,1301,Siauliai
982,70.0,3,1994,4,5,87000,1243,Vilnius
983,118.62,4,1940,3,4,450000,3794,Vilnius
984,72.0,4,1967,4,5,154000,2139,Vilnius
985,45.0,2,1965,3,5,89000,1978,Vilnius
986,64.0,3,1978,7,9,95200,1488,Vilnius
987,64.0,3,1979,4,5,69000,1078,Klaipeda
988,95.0,3,2013,2,9,159000,1674,Klaipeda
989,80.0,3,2008,5,6,189000,2363,Klaipeda
990,48.05,2,1986,1,5,43500,905,Regionas
991,49.54,2,1986,3,5,72000,1453,Vilnius
992,30.0,1,1968,3,4,37500,1250,Klaipeda
993,47.0,2,2017,1,8,140000,2979,Regionas
994,61.0,2,1993,4,5,62000,1016,Klaipeda
995,35.28,1,1963,5,5,18300,519,Panevezys
996,32.0,1,1988,5,5,77900,2434,Vilnius
997,53.0,2,1988,5,5,59990,1132,Klaipeda
998,64.0,3,1972,4,5,69000,1078,Klaipeda
999,34.23,1,1992,3,9,69900,2042,Vilnius
1000,34.23,1,1992,3,9,69900,2042,Vilnius
1001,36.0,1,1957,2,3,67770,1883,Klaipeda
1002,55.0,2,1988,2,9,48000,873,Klaipeda
1003,18.0,1,1976,2,5,8500,472,Klaipeda
1004,40.25,2,1960,1,3,45000,1118,Panevezys
1005,55.0,2,1984,3,5,54000,982,Klaipeda
1006,43.0,2,1978,4,4,14000,326,Regionas
1007,67.92,3,2019,1,3,217000,3195,Vilnius
1008,68.0,3,1940,1,4,119900,1763,Vilnius
1009,41.0,2,1963,4,4,103000,2512,Vilnius
1010,67.56,2,2016,5,6,195000,2886,Vilnius
1011,49.5,2,1973,3,9,75000,1515,Vilnius
1012,73.66,4,1977,2,5,89000,1208,Vilnius
1013,93.0,3,1998,6,6,127000,1366,Vilnius
1014,43.0,2,1920,1,2,79900,1858,Klaipeda
1015,89.0,4,1997,5,2,67000,753,Klaipeda
1016,67.51,3,1988,4,4,70000,1037,Palanga
1017,76.87,3,1984,2,3,33900,441,Regionas
1018,44.42,2,1965,2,5,48000,1081,Siauliai
1019,63.34,4,1969,3,9,109000,1721,Vilnius
1020,30.0,1,1975,3,5,65000,2167,Vilnius
1021,78.0,3,1987,3,5,56500,724,Klaipeda
1022,47.0,2,1975,5,5,44000,936,Klaipeda
1023,55.0,2,1989,2,9,55000,1000,Klaipeda
1024,47.0,2,1971,3,5,62000,1319,Klaipeda
1025,265.0,9,1996,1,4,950000,3585,Vilnius
1026,44.0,2,1968,1,5,49800,1132,Klaipeda
1029,84.0,3,2017,4,4,219000,2607,Klaipeda
1034,50.0,3,2020,1,2,64600,1292,Vilnius
1035,79.0,2,1913,3,5,180000,2278,Vilnius
1036,71.14,3,2006,1,9,94500,1328,Klaipeda
1037,71.5,3,1959,2,3,58000,811,Klaipeda
1038,18.83,1,1976,2,3,15000,797,Regionas
1039,51.14,2,1973,4,5,51500,1007,Regionas
1041,53.88,2,2021,3,3,53341,990,Regionas
1042,63.82,3,2021,1,3,63182,990,Regionas
1043,112.36,3,2007,10,11,320000,2848,Druskininkai
1044,28.15,1,1964,1,3,34500,1226,Siauliai
1045,50.35,2,1985,3,5,53000,1053,Siauliai
1046,42.0,2,1978,4,5,59000,1405,Siauliai
1047,31.77,2,1954,1,4,22300,702,Regionas
1048,35.56,2,1969,5,5,38000,1069,Siauliai
1049,44.32,2,2020,3,4,151400,3416,Vilnius
1050,58.0,2,1958,1,2,210000,3621,Palanga
1051,47.0,2,1982,3,5,32300,687,Siauliai
1052,38.0,2,1975,5,5,26500,697,Klaipeda
1053,47.0,2,1964,4,4,75000,1596,Regionas
1056,63.0,3,1992,1,5,61500,976,Klaipeda
1057,38.0,2,1975,5,5,26500,697,Klaipeda
1058,44.0,2,1967,3,5,96900,2202,Vilnius
1059,30.0,1,1969,5,5,58400,1947,Vilnius
1060,63.91,3,1977,6,9,75000,1174,Vilnius
1061,72.0,3,1969,2,2,85000,1181,Vilnius
1062,44.0,1,1940,1,4,125000,2841,Vilnius
1063,46.83,2,1983,2,4,40000,854,Druskininkai
1064,33.0,2,1973,5,5,22000,667,Siauliai
1065,30.0,1,1968,3,4,37500,1250,Klaipeda
1066,30.0,1,1968,3,4,37500,1250,Klaipeda
1070,54.88,3,1970,5,5,36400,663,Siauliai
1073,25.0,1,1977,5,5,25000,1000,Klaipeda
1074,65.62,2,1996,3,5,68000,1036,Regionas
1075,84.0,3,2006,4,7,370000,4405,Vilnius
1076,64.54,3,1989,4,4,55000,852,Regionas
1077,36.68,2,1964,2,4,58900,1606,Vilnius
1078,15.34,1,1984,5,5,16000,1043,Vilnius
1079,77.58,4,2021,3,5,227542,2933,Vilnius
1082,81.02,4,1974,1,2,3900,48,Regionas
1083,50.76,2,1986,2,2,47300,932,Regionas
1084,53.9,2,1974,5,5,54500,1011,Klaipeda
1085,52.7,3,1965,5,5,64500,1224,Klaipeda
1086,50.0,3,1951,1,1,14000,280,Regionas
1087,57.0,2,2006,2,3,75000,1316,Klaipeda
1088,61.0,3,1971,4,5,59900,982,Klaipeda
1089,18.0,1,1975,2,5,15500,861,Klaipeda
1090,42.0,2,1965,3,5,65000,1548,Klaipeda
1091,40.0,2,2015,1,5,115500,2888,Vilnius
1092,63.0,3,1973,5,9,60000,952,Klaipeda
1093,88.0,4,2006,7,7,135000,1534,Klaipeda
1094,27.0,1,1940,2,2,67000,2481,Vilnius
1095,28.34,1,1975,1,5,28500,1006,Siauliai
1096,52.0,2,1988,2,5,65000,1250,Kaunas
1097,62.0,3,2008,1,3,75000,1210,Regionas
1098,50.0,2,1980,3,5,77000,1540,Kaunas
1099,80.0,3,2008,2,7,269000,3363,Vilnius
1100,70.0,3,1978,7,9,95200,1360,Vilnius
1104,40.0,1,2017,5,5,82800,2070,Vilnius
1106,36.0,2,2014,5,6,119000,3306,Vilnius
1107,37.0,2,1957,2,3,67770,1832,Klaipeda
1108,37.53,2,2020,1,3,92000,2451,Vilnius
1109,48.0,2,1981,6,9,54000,1125,Klaipeda
1110,64.0,3,1975,8,9,66000,1031,Klaipeda
1112,55.45,3,1964,5,5,53900,972,Klaipeda
1114,37.22,2,2019,1,3,89000,2391,Vilnius
1121,64.0,3,1972,3,5,70000,1094,Klaipeda
1122,77.31,3,1980,1,3,27500,356,Regionas
1123,21.0,1,1963,5,5,17400,829,Vilnius
1124,80.0,4,1918,2,2,131000,1638,Klaipeda
1125,29.0,1,2020,2,9,52500,1810,Vilnius
1126,31.87,1,2021,4,6,72900,2287,Vilnius
1127,63.0,2,2018,2,4,135000,2143,Klaipeda
1128,57.0,2,2007,1,5,88000,1544,Klaipeda
1129,70.0,3,1986,10,12,95000,1357,Klaipeda
1130,76.0,3,1990,1,5,65000,855,Klaipeda
1131,112.4,3,2007,3,9,229900,2045,Vilnius
1132,42.4,2,1962,4,4,37000,873,Panevezys
1133,52.0,2,1977,4,5,73000,1404,Klaipeda
1134,64.0,2,1983,7,9,64000,1000,Klaipeda
1135,64.0,2,1983,7,9,64000,1000,Klaipeda
1136,56.0,2,1995,5,10,56000,1000,Klaipeda
1137,61.0,2,1993,4,5,62000,1016,Klaipeda
1138,64.0,3,1972,4,5,69000,1078,Klaipeda
1139,37.0,2,1957,2,3,67770,1832,Klaipeda
1140,68.0,3,1978,7,9,95200,1400,Vilnius
1141,50.16,3,2021,2,2,90300,1800,Regionas
1143,39.1,2,2018,1,6,99000,2532,Vilnius
1144,30.0,1,1938,1,4,112000,3733,Vilnius
1145,78.0,3,1956,2,3,120000,1538,Klaipeda
1146,37.0,1,1957,2,3,67770,1832,Klaipeda
1147,97.68,3,2017,2,2,209000,2140,Regionas
1148,63.0,2,2006,4,5,81000,1286,Klaipeda
1150,46.0,2,1930,2,3,94900,2063,Klaipeda
1151,64.0,2,2008,7,20,106000,1656,Klaipeda
1152,67.09,3,1975,4,5,45500,678,Klaipeda
1153,30.0,1,1967,5,5,26700,890,Siauliai
1154,42.07,2,1963,1,4,59000,1402,Klaipeda
1155,77.7,3,1988,1,5,51900,668,Klaipeda
1156,71.09,3,1982,5,9,57700,812,Klaipeda
1157,80.85,4,1980,1,5,69500,860,Panevezys
1158,39.84,2,2020,4,7,61000,1531,Vilnius
1159,39.79,2,2020,4,7,75000,1885,Vilnius
1160,66.42,3,1986,9,9,105000,1581,Vilnius
1163,64.0,3,1970,4,4,160000,2500,Palanga
1164,85.0,3,2004,4,6,116000,1365,Klaipeda
1165,37.0,1,1957,2,3,67770,1832,Klaipeda
1166,42.3,2,2022,4,5,72510,1714,Kaunas
1167,262.0,7,1990,1,3,563000,2149,Vilnius
1168,60.33,3,2022,2,5,91018,1509,Kaunas
1169,60.03,2,2006,6,8,93000,1549,Vilnius
1171,35.85,2,2008,3,9,74000,2064,Vilnius
1172,63.0,3,1992,1,5,61500,976,Klaipeda
1173,33.0,1,1970,5,5,37000,1121,Klaipeda
1174,33.0,1,2005,6,9,98000,2970,Vilnius
1175,58.03,3,2021,3,16,105000,1809,Vilnius
1176,49.33,2,2021,5,16,89800,1820,Vilnius
1177,56.58,3,2021,3,16,102400,1810,Vilnius
1178,56.92,3,2021,2,16,109600,1926,Vilnius
1179,46.85,2,2021,3,16,85700,1829,Vilnius
1180,47.2,2,2021,3,16,87300,1850,Vilnius
1181,36.0,2,1933,2,2,46500,1292,Kaunas
1182,43.0,2,1963,5,5,45000,1047,Klaipeda
1183,43.0,2,1964,1,5,49900,1160,Klaipeda
1184,30.0,1,1990,4,4,38000,1267,Klaipeda
1185,44.0,2,1973,3,5,65000,1477,Klaipeda
1186,103.0,3,1939,3,3,101000,981,Klaipeda
1187,55.0,2,1986,8,9,53900,980,Klaipeda
1188,53.0,2,1940,1,2,265000,5000,Vilnius
1189,45.69,2,2021,1,3,45233,990,Regionas
1190,39.0,2,1960,4,4,43500,1115,Klaipeda
1191,44.0,2,1968,5,5,56000,1273,Klaipeda
1192,63.0,3,1992,1,5,61500,976,Klaipeda
1193,38.0,1,1985,1,5,25500,671,Klaipeda
1194,49.0,2,1968,3,5,65000,1327,Klaipeda
